Avg. Area Income,Avg. Area House Age,Avg. Area Number of Rooms,Avg. Area Number of Bedrooms,Area Population,Price
43496.72566,6.076352847,6.743361593,2.11,35726.60563,718650.6438
77623.98361,5.704488367,6.019277067,2.24,38660.64385,1246440.856
80948.10988,6.706187276,7.925612282,4.41,32517.53141,1838092.102
80819.28657,6.207741052,8.065919755,4.38,34535.99071,1543801.655
80972.99647,5.470850799,6.913134346,2.22,48036.61012,1556987.724
71939.37104,6.994091107,8.025891006,6.11,40053.8781,1617072.277
62612.9093,6.949391112,6.658163483,3.32,40789.82581,1315684.457
76326.59232,5.02469487,4.936329009,3.44,42779.8313,1261843.844
75654.77702,7.077079395,6.501047493,3.15,49451.17854,1900789.237
74455.44203,6.718328181,6.98639502,4.5,62449.97385,1867050.536
55573.61779,7.036672003,4.946874791,4.02,29352.86297,919207.0276
48406.77931,4.499700732,7.776597852,4.19,43535.9315,589352.3954
43241.98242,6.435396063,6.699122661,2.39,29478.53124,629657.6133
67775.54642,5.049142026,7.845249622,3.17,38345.58108,1101120.259
62311.38775,5.492310439,5.69082542,4.23,51601.59401,1019127.733
57086.37459,5.893367315,7.33156687,4.03,39002.90125,1073350.044
58914.48624,6.590092351,6.311064909,2.46,35282.71403,1072704.89
68449.04732,8.390376004,10.1449879,3.14,20145.88651,1810158.487
74253.44319,4.404914662,5.280332632,3.25,44939.67256,1039794.767
68305.75377,4.402219814,5.039587069,2.02,49180.74192,908013.0021
71500.87164,7.759013435,5.748082223,4.09,33741.7412,1439892.632
65873.93941,7.309462287,8.56260323,4.49,39785.62784,1582765.592
86458.98086,4.55512299,8.28066894,6.27,22321.43516,1336743.383
59944.64516,5.573279881,8.019014599,4.19,28999.12825,829794.8233
81137.46297,7.726796262,6.791657259,3.21,34493.74717,1659170.513
60224.65171,4.675940133,5.428846667,3.23,42182.86211,712228.4243
63580.73288,5.916199392,8.092067883,3.14,31080.7275,979282.7631
80850.04183,6.63541412,6.622449677,2.1,41420.16082,1501103.493
69099.40351,5.600101651,5.40860478,3.49,37540.31003,921396.9753
45633.84195,6.733866215,6.827278726,2.35,42371.58426,1108406.786
81291.67049,5.213993838,8.429901753,4.19,33097.55641,1454749.807
51718.35461,7.509043842,7.10931161,3.11,49639.17324,1285923.734
74567.19961,5.745518039,7.735040644,5.29,44393.34075,1556552.474
72331.67854,6.733341597,6.633598721,3.38,34718.07293,1377275.179
76717.09736,5.577625303,7.197195138,3.11,22276.37307,1005392.419
44088.27418,7.557642673,5.581040692,2.44,31032.9203,624482.7636
76749.34844,6.281779968,7.566865356,5.21,21136.20377,1303106.787
67428.64356,5.494795166,7.565060629,6.36,40897.02521,1182980.604
65212.3664,5.787306592,7.636500321,5.05,29582.72278,981232.6124
65430.97914,4.324962702,7.200581808,4.41,33320.39672,717825.3597
78693.8408,5.791574195,6.453815823,3.15,44210.15524,1526013.33
69277.89125,6.142591681,7.811724471,5.15,43717.91309,1415073.614
60426.5097,6.091147527,8.845689956,6.08,46776.73635,1518387.142
75391.68176,6.484387168,5.903753582,3.17,43359.02128,1435769.769
59952.6575,5.237950174,8.194571351,5.49,50752.19402,1243491.572
63578.82315,5.783592751,7.172294917,3.17,42322.61326,1365496.885
63584.04588,5.832827571,6.029160867,4.29,46340.18858,1175781.418
53112.27806,5.138651815,6.325363471,4.25,40367.38387,685503.9903
56815.74332,6.913898736,5.407974627,2.01,35516.40989,1076334.103
66496.72623,6.13806292,7.651811447,4.38,31227.03024,1417047.627
82989.9563,6.331567258,7.774634207,4.49,19372.74768,1458422.811
87883.58429,7.609905323,5.889038038,3.39,41012.62101,2049146.63
73611.68863,4.756446026,7.766507124,4.23,38294.07598,1487855.538
74332.85047,5.284318166,7.518827433,6.35,30212.43884,1056984.182
70090.32109,5.368736615,6.201132728,2.36,26390.81105,933157.3392
68297.51805,5.533759171,8.25721362,4.35,23177.58185,1281308.332
57996.66741,6.459257932,8.610216671,4.13,45786.86126,1626893.547
65182.11557,3.639344477,7.014834535,4.12,32729.59673,779106.0225
87638.11565,6.347008373,6.953770536,2.45,34109.24426,1734239.138
60494.11984,5.288328665,6.771063984,3.08,31693.61017,795082.8102
81490.49041,6.364692293,8.708421218,5.35,55928.08704,1914509.521
77700.59421,6.775568399,8.877867826,6.13,38827.40581,1836419.641
59160.09335,6.265218079,7.046225211,3.17,23252.90621,1006885.844
69044.94212,4.312275647,5.600072675,4.09,34764.29222,1084255.678
55317.2039,4.970859464,7.145445356,4.4,42317.89529,670734.674
61214.74081,7.099048884,7.518523593,6.25,32254.39867,1070720.058
69227.60726,3.858766446,9.114772966,6.02,42582.62587,1280230.625
78847.53637,5.573231808,7.027355369,3.26,20653.89831,1214320.574
75090.75512,6.062755515,6.368791728,4.29,39456.87209,1166558.374
87335.34804,5.507505382,8.164426112,6.13,39995.84209,1745516.171
83907.37141,6.002190879,6.580437421,3.28,46091.78913,1796009.504
79698.22092,4.102335552,6.912506242,2.29,42046.3404,1262494.287
67453.08131,6.025451861,5.552289862,2.09,49085.96278,1162949.679
59306.92663,7.477461908,7.496562287,4.23,34886.24678,1363623.044
89551.73165,5.802162211,6.915264205,2.14,43964.65845,1587406.303
58687.1013,6.598676143,6.63543391,4.31,29395.60249,938827.8008
75059.77452,5.566034503,8.209029368,6.39,18699.18704,1242316.991
62175.02197,5.370184661,6.574481135,4.31,31317.59839,1017722.998
57925.00217,3.49042996,7.346264663,6.37,40177.87672,842924.5538
58334.706,5.895957277,8.225442732,4.18,23907.77099,965074.8047
60880.58387,6.083347825,7.102109113,3.06,42877.51749,959416.4367
70791.51907,5.08647949,5.293383165,4.03,19314.63285,738760.7474
67160.85009,6.444283309,6.861131564,2.12,33805.32623,1070818.731
57782.41708,5.159300978,6.332626733,2.46,33426.84938,861321.5807
78929.78155,6.231375374,7.203152798,6.18,39667.86319,1503327
78845.76218,6.200075739,5.645543716,2.3,54845.49441,1598159.227
72662.41472,5.297427696,7.459313335,4.05,50672.93037,1371521.62
77032.27071,5.34585939,7.516683145,3.22,29023.35352,1314387.407
79354.05044,6.985000857,8.146308838,6.22,39092.18544,1656785.448
89825.65567,6.604135986,6.577160392,3.46,18598.25608,1646033.41
82635.33924,6.404151538,7.068895569,6.48,33770.24452,1480227.547
84898.79649,6.853310227,5.055857861,4.16,46066.86885,1658695.141
77906.18518,6.537043567,9.458466363,3.08,31399.75683,1639099.378
62794.96597,4.206346468,8.480848339,5.33,31162.06331,879618.3222
46646.71054,6.331878075,6.726795812,3.45,34006.8653,710269.214
68275.5812,5.534934174,6.277831678,4.13,31383.07069,866328.1313
72991.48165,3.412865926,6.49408094,2.48,50626.49543,1042373.524
69342.70684,5.804686752,7.805903702,3.36,37082.37422,1400104.871
73965.37027,5.121333052,6.931703177,2,34440.64065,1168627.651
71066.80865,4.51997251,5.765715832,2.44,43419.88705,1112194.752
62862.48802,4.606130739,6.724241154,3.37,37254.69839,931768.0455
70719.52095,5.492973781,7.813691103,3.21,29301.47935,1044017.432
76009.29703,4.750349731,5.386571385,3.3,26888.4087,834185.5784
52890.04582,6.701008533,8.859650987,3.21,27165.23395,1174949.861
58719.36049,6.152436518,7.427891612,4.35,44957.01792,1296240.112
66547.01645,5.8460953,6.84729811,4.13,27850.8229,1094879.773
86310.09015,6.357274544,9.379949193,6.37,29776.66077,1827899.186
91392.41934,7.320676246,7.498418863,6.24,33379.6764,1792254.818
77193.94342,5.763953676,7.17016889,5.31,19630.01991,1065150.787
84776.70849,6.077935134,7.131393662,6.31,26952.55681,1467075.169
79058.93991,5.0180973,6.68477919,3.35,35074.26481,1366714.376
65380.31624,7.525690557,7.346028356,6.15,21641.4762,1269486.337
94889.80041,7.208464266,6.33879562,3.41,31884.44031,2007639.432
69956.75188,4.982101501,7.860718492,3.17,35148.16491,1326946.725
65736.34642,5.639329458,6.299807262,3.13,32964.01822,991398.8219
81850.98839,6.385530181,4.334884494,2.39,42634.95086,1375467.271
75454.16429,8.224470239,8.179760004,5.29,51172.94704,1940933.472
62041.42829,6.692077853,7.121938799,3.25,46069.97691,1376898.058
73226.20051,6.723350218,7.194271726,4.03,30464.04404,1316129.309
62678.33547,5.125019477,6.47103518,3.45,44965.31198,1032663.003
74664.33664,7.796604331,6.412060235,3.25,23817.9026,1447353.264
81970.46446,5.400627906,6.979307783,2.38,33284.9267,1325531.155
96397.58268,4.451224162,6.200118123,2.4,22681.92948,1053966.425
59081.98555,7.231266171,6.972863895,2.12,42578.42763,1401767.904
58517.06201,7.616703734,7.648963666,6.35,30888.80272,1364738.296
63376.70777,6.254002237,6.437478448,3.16,29743.5932,1014093.31
79843.14633,5.775992038,7.304337593,3.24,42452.94119,1424786.509
68423.02319,5.594251333,4.458940625,2.21,13345.56449,760876.0222
61830.2395,6.099760912,6.54354236,3.16,37688.39048,1054856.033
60883.53689,6.281291995,6.40881853,2.37,31135.05678,1005946.767
59904.84805,5.128553727,5.661512496,4.19,35188.77285,752168.0689
62137.59721,5.440725043,7.235191288,5.21,19045.61951,749383.0726
49863.22687,6.777375019,9.640681638,5.03,42056.84712,1389047.558
63563.91421,5.662570992,6.848702994,2.26,38088.63597,944032.4773
82093.55911,4.988320965,6.780071588,2.43,30644.23589,1324022.025
80648.06571,6.35533372,5.881851885,3.49,35091.95553,1343605.8
83335.1357,3.831695269,7.118867016,6.18,22786.03046,951781.3078
58909.31344,5.71429312,7.703920454,6.38,40865.81789,1205568.367
63232.94007,7.350601424,7.262950102,4.24,33637.95541,1465223.509
53080.44345,5.474835964,6.365536271,2.4,23763.19723,508951.5669
85738.6404,5.947639943,8.157378891,3.4,25987.83282,1690540.682
52376.61152,5.361088157,4.377965509,2.2,34189.14346,308199.8912
63713.27293,4.787487797,8.017914452,3.12,42507.6117,1032346.87
63920.38949,5.313060495,7.875734866,4.04,31034.82616,1011331.164
66878.8608,6.017936041,9.095206581,5.42,42624.94179,1645843.048
59391.05678,6.492408962,8.78453631,6.32,64543.32245,1599416.014
60513.82583,6.287356151,7.485627782,4.19,31406.7848,1160526.058
76624.14812,5.074271516,6.265051496,4.17,47039.09365,1436995.2
60530.7319,4.436177367,7.670800219,4.3,34043.22655,869026.582
65010.55347,6.299951771,7.529845745,6.32,34706.86663,1305185.545
69340.56037,5.046605747,6.737526662,4.01,30726.37945,994107.8898
78963.89414,6.859245122,5.734998914,3.2,59974.62659,2004396.372
69361.55772,5.112168913,5.762404548,3.37,30184.88001,682632.8049
97076.1645,5.960819538,6.606163705,2.46,39915.65678,1969194.124
80889.66854,6.613521403,7.99341993,6.18,12513.68173,1443842.023
60563.78747,6.8743744,7.734418599,5.47,31568.10149,1159526.154
82389.52228,5.012767242,7.155824839,4.29,32494.13968,1299924.798
64115.06377,5.858157004,7.336340464,5.39,34312.41251,1158742.83
63170.38218,6.242850811,4.887183995,2.09,44345.07696,1067191.98
74909.72422,4.225888127,6.922914743,2.29,40193.52872,1243239.003
68785.20331,7.005533539,6.599607811,4.03,48564.79854,1409038.987
78643.17171,7.127209146,5.725930316,3.36,13889.07602,1166198.116
62043.17585,5.824410874,7.043611453,6.44,23249.82461,878862.7457
61783.90057,6.90303639,8.216386576,4.09,34189.24805,1405495.71
69650.72903,5.922774742,6.201155203,3.05,41608.06466,1296645.375
71158.05819,5.051671218,6.364705293,3.45,30221.32737,1016871.415
68737.59871,4.50065575,8.450083754,6.18,34216.69172,1230363.234
66967.39846,3.930198546,5.982743948,3.46,51554.76141,1102943.351
84020.49759,5.37784555,7.328435046,4.24,25975.50583,1458009.211
75876.93384,4.365120554,6.303023843,4.2,36119.10236,1236308.28
83394.40783,5.601486668,5.905024344,2.08,30487.52462,1451739.625
74354.23018,6.85020814,6.147313624,4.39,30091.11684,1370274.387
62949.67395,4.00349912,7.860026769,5.36,30373.06097,814378.4821
64699.39397,6.848939033,6.956937821,4,49083.66618,1550359.548
72554.53595,5.443881966,6.822376992,4.09,36249.40583,1187090.948
60419.89076,6.850527928,6.963875476,2.36,38272.92156,1268125.838
87266.34023,8.248959366,7.234261404,5,45161.18768,2249122.541
69351.47742,5.468522726,6.458904504,2.09,46833.13129,1410362.613
52018.16462,5.312268019,7.834925575,4.07,60742.63487,1248689.601
78788.43952,6.772487473,6.637597521,4.01,38656.43139,1518454.06
81775.62655,5.772011878,7.496476798,6.34,30070.72806,1500939.827
69807.72336,7.424253139,7.25760419,3.38,51453.26516,1789607.526
62699.43922,6.358746643,7.460134655,4.28,37816.3377,1306367.811
62937.04797,6.171802299,8.931184559,3.14,38082.48344,1584167.851
53128.18545,5.180664125,5.426902859,2.39,32947.71196,524712.7661
60555.03963,7.329765059,8.071888739,5.12,46257.12379,1646565.054
82251.65301,7.741091334,7.636653827,6.49,18408.79864,1552536.764
73684.34795,6.172321364,5.871991132,4.18,33448.71108,1306288.623
58272.92972,4.47970159,7.924177937,3.39,39755.90317,823821.7864
81941.22296,5.888005158,7.381076691,6.16,41766.85756,1648201.728
76759.26928,7.983741985,7.613237025,5.26,23752.36101,1660770.002
82069.6606,5.491419388,6.368112908,2.38,47005.49681,1710924.367
82587.58644,5.710321906,6.674060503,3.46,55932.22273,1765988.264
84054.4344,6.976452346,6.341021454,3.04,38712.70774,1812765.957
67026.44049,5.622596911,5.560293965,2.41,27677.88278,625880.7321
48498.14027,5.127825655,8.737025149,3.04,30749.64439,602209.575
67371.42086,5.333820712,6.624951289,4.37,24797.76476,739870.7936
51168.42859,7.51173035,7.083326348,3.1,30369.19312,1220987.002
58696.59298,6.091467944,6.649683873,3.35,21434.06366,828477.2913
68186.03169,6.889045997,8.432092837,3.17,33350.48026,1460364.3
68901.14428,5.29531774,5.469354825,2.01,30832.66831,956764.0141
57493.92457,6.893260157,6.734045416,4.41,47039.21532,1241483.612
73689.42839,5.476899984,8.57035713,4.02,49240.31767,1688093.257
67813.67658,5.67233669,6.39644509,3.14,30253.85748,1057347.166
54920.06339,6.827612966,6.188287003,3.44,22835.58443,831168.8337
56679.01602,5.096643486,8.971411852,5.49,40785.0273,1110598.755
48418.25234,5.855530706,6.110107841,4.04,41513.39942,702321.7523
60567.94414,7.830362444,6.137356228,3.46,22837.36103,1060193.786
69577.13762,6.019581363,8.103829663,5.05,48122.10195,1565931.192
54094.85194,5.977382503,7.501275078,6.03,29371.03371,785460.6977
64975.88369,5.175115447,6.584406172,2.27,37088.81622,918533.6164
72232.36595,5.791634958,8.460741393,3.37,49668.50107,1675825.721
60975.08796,7.080128054,5.719328415,3.19,43752.88954,1359838.999
43952.33621,5.416065414,7.327671148,4.41,25139.44994,324981.993
68780.90722,5.158749774,7.748133072,6.2,36591.9573,1055772.871
63438.72757,5.640162344,9.151531303,6.12,32180.36047,1244563.275
77417.22284,5.663860359,7.580906575,6.29,26527.29795,1145351.161
72752.21639,5.203791107,5.577942463,2.03,29034.31996,692229.4655
83882.08545,6.54397761,7.718658025,3.09,25838.85591,1670256.59
61325.07891,4.338810572,6.303479006,2.48,51406.7399,1147908.529
69343.00931,5.921443805,9.141241979,5.3,30113.83269,1245070.338
79702.38615,6.76379225,8.465664367,6.29,46270.33064,1753820.622
76453.79463,6.221479752,5.899690352,4.22,51497.66578,1522099.831
60757.08121,6.486568179,8.155915088,5.35,35561.08441,1281378.174
52511.65435,4.579884939,6.561220474,3.3,24612.98724,325195.9428
65149.89591,5.561847875,7.121417616,6.36,29190.88798,988014.7561
88968.52173,4.908329526,7.014097561,3.01,34751.73695,1433006.645
60288.47592,6.170239154,7.014314641,3.28,34651.07232,1144937.614
79585.55223,5.778524695,8.430787826,4.32,31773.3374,1612717.553
60041.20701,3.989950505,7.407572442,3.06,50637.87411,697656.5924
60270.45485,5.812992997,7.256684297,4.21,26945.57492,1009809.984
35963.33081,3.438546514,8.264121726,3.28,24435.7773,143027.3645
57003.10964,7.01058346,6.356258719,3.14,29594.69337,828497.0671
76056.28911,6.480979871,8.245224408,5.4,28470.70147,1491838.494
70342.67105,4.555560605,7.309919375,6.34,34970.8158,1223589.046
88556.00598,4.899267764,6.584651803,4,59262.5393,1900999.546
73273.33404,6.291080412,6.497472775,4.18,36790.91474,1132983.955
51628.01456,5.105885882,8.69693706,4.22,32713.0995,817938.7774
63843.75576,6.240694096,6.408500539,3.13,37703.29694,1071537.376
80931.50922,5.771015012,4.290699174,4.12,31837.48807,1099788.698
83683.36054,6.083634063,7.167066817,3.48,38399.83571,1303542.283
82268.08199,6.357539658,8.095024774,3.5,39549.801,1712929.654
80182.09303,3.738592971,9.654555761,3.37,15090.85119,1223261.462
70743.19551,5.379595574,5.220527709,3.31,26897.71205,874969.6969
59729.2526,7.560599416,7.270138268,6.47,31202.18742,1196687.687
57905.49947,5.699427298,8.142936541,4.5,43341.08705,1108022.282
61978.84805,7.912276047,8.437966416,5.37,56957.18775,1696717.107
66765.44516,4.976354641,6.09875013,2.11,38064.17691,994897.1126
65041.69131,6.202875145,6.088335078,4.17,14486.82595,759799.8758
66418.43057,5.737583091,8.051738727,3.49,45319.99304,1383842.185
74420.05254,6.591287918,6.500293441,2.42,40250.88724,1555806.042
72006.81109,5.71778448,6.942240488,2.01,37402.08393,1235593.277
61654.69888,4.132176739,8.807527232,6.26,41909.50349,1131532.919
73931.14266,5.662286845,6.9812466,2.46,29568.95886,1258178.804
67710.11298,5.854378134,8.48252252,4.18,25222.46242,1267443.398
76027.94493,5.744456336,8.032013781,4.23,37462.22283,1282365.462
56983.90282,6.04484346,6.638223174,2.25,27207.32169,674197.852
77898.51039,4.272548632,8.274472679,3.28,59563.16042,1812960.408
79191.81762,7.145613977,5.873084078,4.01,35107.13908,1431915.977
70005.69443,4.915490826,7.387976068,4.3,25136.21543,946556.2637
76788.62439,5.472493192,6.395768938,4.21,35936.05672,1443907.747
79433.27774,5.124179449,6.230312382,2.47,40077.74753,1236633.087
59195.32587,5.946960518,7.868771957,3.24,30774.75314,962081.42
81167.4411,8.1006516,6.340960207,4.5,28713.96202,1768705.125
68994.17845,6.190475601,7.105546436,6.45,30609.65271,1095597.944
66047.05353,3.862416923,7.955934585,5.05,26534.6979,642809.9667
57688.27414,6.270998661,6.604815126,3.34,19900.00005,684257.1111
66263.9105,6.374930066,6.736974131,4.41,49829.9515,1441421.913
64811.17139,6.193441139,6.952699366,3.46,40549.35681,1153135.22
77459.75786,4.282450211,5.980078563,4.48,37910.29498,945252.1918
67868.79881,7.147581007,6.373991613,4.04,32732.16105,1341870.354
72770.16686,7.680416377,6.38769374,4.05,21357.03653,1293461.798
66197.67377,5.790273451,5.895335124,4.19,55849.46922,1244916.548
73035.02576,7.553762647,8.114826162,4.23,43408.42046,1877073.575
64705.38341,4.672028732,6.386089398,2.24,33900.19875,862407.817
81159.794,4.600368094,6.000769327,4.49,40861.61542,1182887.997
92774.67569,5.990648916,7.163240961,5.38,35016.45522,1883469.244
78159.95403,5.122002568,6.177536468,4.08,31111.62291,1264972.442
56501.22845,7.204247861,6.285785525,4.42,34720.46136,992773.7916
67650.25779,5.953714976,4.675286127,4.18,28532.70982,670063.0223
64536.01498,4.593827121,4.980219473,3.13,33346.40362,491907.7944
64909.04115,6.63613135,9.054827004,5.1,42180.64794,1577849.524
45781.23446,5.457036915,5.892084942,4.43,34660.18308,676970.6909
69273.77543,4.087470353,7.284399325,5.44,42086.78901,1034366.778
70489.293,5.907266843,7.025480822,5.06,48796.54452,1541746.291
82199.35452,6.654755323,7.25829112,5.08,33609.24595,1638661.432
79097.134,5.873083771,8.007304843,5.09,43950.66238,1770616.93
60058.90615,6.367112535,5.982669477,4.38,33581.82371,990893.1601
62755.45277,6.109440991,6.79627685,3.07,41525.3777,1025705.134
58494.39811,6.530217218,5.951785743,3.5,29985.42516,762208.9848
74852.73538,7.052158313,8.433007791,6.29,26120.66089,1535844.896
69429.18577,5.993336048,7.104042556,3.11,44822.3484,1330929.472
72654.57336,6.106164038,8.338978426,3.23,51456.15053,1813857.826
66919.91548,6.371179256,6.673256383,4.21,38858.87649,1310764.112
59982.19723,5.040554523,7.839387785,4.23,26354.10947,630943.4893
58871.79001,8.174270417,7.074322473,5.16,25091.82355,1325706.901
65070.56701,7.143558507,5.579766055,4.3,24852.56515,994897.7278
70091.56059,5.966762687,5.283166552,4.34,37410.38944,1081497.277
62485.90147,6.129920102,7.236661163,3.29,32428.12577,972670.8133
58521.89628,4.750535737,6.854174621,3.46,44423.49869,671671.7145
77969.99352,5.359050538,8.133114034,4.08,29941.39892,1519415.353
76835.95793,6.822667495,7.744187006,6.29,27622.34129,1529830.368
63217.17243,6.981741643,5.139219089,2.07,31925.67536,1070868.067
49767.03433,6.656389733,7.020757423,4.06,40776.07911,927978.9092
80371.44642,7.497837318,8.318208245,4.36,18859.2903,1644242.024
73930.83995,5.281560667,7.681342023,4.16,42702.40328,1363086.905
78706.67574,5.922854638,8.33451397,4.2,36414.72945,1550702.478
84851.16007,6.359015225,6.206156512,2.48,34265.52637,1429383.352
59810.78328,7.29616924,7.728127007,5.19,14452.921,975913.1051
73304.90271,4.604883433,7.835780186,6.24,24283.86989,1155077.131
62769.03468,5.571587866,7.780985804,4.45,43314.16108,1178553.616
77089.65366,6.1228162,6.265592476,4.38,46740.88672,1469237.205
70670.87889,6.581627437,6.477494893,3.17,23592.15759,1237902.82
51144.77077,6.748781492,6.767066347,4.04,39369.30084,913587.0974
35797.32312,5.544221047,7.795138242,5,24844.20019,299863.0401
48524.42769,7.398109966,6.604115958,2.13,41554.0704,1082486.679
72531.1338,4.661801761,6.498815201,4.18,15167.41107,578161.4955
76061.35071,7.148713116,7.546065991,6.3,40876.96459,1778013.334
80778.90088,6.484438121,6.386486309,3.16,34431.16874,1566740.128
58846.3165,6.040724795,7.017644669,4.36,42617.7387,1235681.793
78688.29319,6.359688876,7.349121497,6.39,47812.01849,1869313.107
66197.49129,3.573485177,5.307994552,4.14,35919.85409,701865.773
71579.1264,6.001140259,6.166459077,2.44,40130.54077,1198572.866
54427.91151,7.190023019,7.332134662,3.03,54045.94271,1598736.4
52848.63047,5.329908451,5.829254933,4.48,53628.68239,880132.844
80305.20645,4.966293764,7.314402945,3.39,22267.1593,1100632.391
63402.76833,5.530011009,6.621723068,2.1,32620.83746,832559.7976
66651.6003,8.042661057,7.145904972,5.46,46165.70063,1660975.171
75470.75995,6.510242049,8.073235752,6.48,17780.96217,1147442.952
73715.42371,6.210744515,7.983172003,3.09,45540.93836,1615346.75
94085.47298,6.305651284,9.108893289,5.15,31011.36681,1989672.524
74022.13942,6.744098524,5.57541385,4.2,30053.43719,1358899.686
75534.27948,4.545026952,7.096019756,6.46,27730.74931,935488.6065
55815.56872,7.151591185,6.002938215,2.35,42961.7642,1308465.24
47121.00996,6.714882023,6.650922645,3.23,46303.46211,1012269.82
69699.51877,6.670701549,8.239588502,3.06,47248.81405,1736442.48
74898.65868,7.33048128,4.878168681,3.45,32530.25631,1261239.272
65950.34702,5.476513158,6.717844306,3.28,40110.8476,1200961.821
